date,temperature_2m_max
1940-11-02 00:00:00+00:00,84.0551
1940-11-03 00:00:00+00:00,81.8051
1940-11-04 00:00:00+00:00,82.5251
1940-11-05 00:00:00+00:00,83.3351
1940-11-06 00:00:00+00:00,82.5251
1940-11-07 00:00:00+00:00,85.1351
1940-11-08 00:00:00+00:00,81.0851
1940-11-09 00:00:00+00:00,78.5651
1940-11-10 00:00:00+00:00,77.3951
1940-11-11 00:00:00+00:00,81.1751
1940-11-12 00:00:00+00:00,80.6351
1940-11-13 00:00:00+00:00,80.4551
1940-11-14 00:00:00+00:00,82.3451
1940-11-15 00:00:00+00:00,75.5951
1940-11-16 00:00:00+00:00,68.5751
1940-11-17 00:00:00+00:00,71.365105
1940-11-18 00:00:00+00:00,75.3251
1940-11-19 00:00:00+00:00,79.5551
1940-11-20 00:00:00+00:00,80.0051
1940-11-21 00:00:00+00:00,79.1951
1940-11-22 00:00:00+00:00,81.7151
1940-11-23 00:00:00+00:00,80.9951
1940-11-24 00:00:00+00:00,81.8051
1940-11-25 00:00:00+00:00,80.0051
1940-11-26 00:00:00+00:00,81.6251
1940-11-27 00:00:00+00:00,83.425095
1940-11-28 00:00:00+00:00,78.3851
1940-11-29 00:00:00+00:00,80.185104
1940-11-30 00:00:00+00:00,81.7151
1940-12-01 00:00:00+00:00,82.7051
1940-12-02 00:00:00+00:00,82.5251
1940-12-03 00:00:00+00:00,78.9251
1940-12-04 00:00:00+00:00,73.3451
1940-12-05 00:00:00+00:00,77.3951
1940-12-06 00:00:00+00:00,77.6651
1940-12-07 00:00:00+00:00,78.7451
1940-12-08 00:00:00+00:00,79.9151
1940-12-09 00:00:00+00:00,78.115105
1940-12-10 00:00:00+00:00,80.6351
1940-12-11 00:00:00+00:00,76.9451
1940-12-12 00:00:00+00:00,79.5551
1940-12-13 00:00:00+00:00,79.1051
1940-12-14 00:00:00+00:00,81.26511
1940-12-15 00:00:00+00:00,81.1751
1940-12-16 00:00:00+00:00,81.5351
1940-12-17 00:00:00+00:00,78.5651
1940-12-18 00:00:00+00:00,80.0051
1940-12-19 00:00:00+00:00,76.8551
1940-12-20 00:00:00+00:00,78.9251
1940-12-21 00:00:00+00:00,78.6551
1940-12-22 00:00:00+00:00,76.045105
